%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 50; Distribution: matching; Runs: 1; Seed: 73
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 51
dummy 16

0	10.873	3	16	#
1	5.32613	0	18	#
2	5.08342	3	5	23	#
3	4.57508	3	9	23	#
4	4.11757	3	13	23	#
5	5.08342	7	9	23	#
6	4.57508	7	13	23	#
7	5.08342	11	13	23	#
8	1.00412	1	6	25	#
9	0.677778	1	10	25	#
10	0.61	1	14	25	#
11	0.549	1	18	25	#
12	0.753086	5	10	25	#
13	0.677778	5	14	25	#
14	0.61	5	18	25	#
15	0.753086	9	14	25	#
16	0.677778	9	18	25	#
17	0.753086	13	18	25	#
18	1.64456	2	5	26	#
19	1.11008	2	9	26	#
20	0.999068	2	13	26	#
21	0.899161	2	17	26	#
22	1.23342	6	9	26	#
23	1.11008	6	13	26	#
24	0.999068	6	17	26	#
25	1.23342	10	13	26	#
26	1.11008	10	17	26	#
27	1.23342	14	17	26	#
28	0.710843	10	13	27	#
29	0.479819	10	17	27	#
30	0.533132	14	17	27	#
31	5.1367	2	16	#
32	9.37008	9	15	29	#
33	6.3248	9	19	29	#
34	7.02756	13	19	29	#
35	5.40972	1	12	30	#
36	3.65156	1	16	30	#
37	4.05729	5	16	30	#
38	3.4929	1	12	32	#
39	2.3577	1	16	32	#
40	2.61967	5	16	32	#
41	6.41039	0	19	#
42	0.6589	6	9	34	#
43	0.444757	6	13	34	#
44	0.400282	6	17	34	#
45	0.494175	10	13	34	#
46	0.444757	10	17	34	#
47	0.494175	14	17	34	#
48	5.66426	0	13	35	#
49	5.09783	0	17	35	#
50	5.66426	4	17	35	#
