%% File generated by CATS v.2.1Thu May  9 12:48:23 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 100; Distribution: matching; Runs: 1; Seed: 16
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 32
bids 102
dummy 27

0	4.13909	0	30	#
1	6.9417	2	28	#
2	2.75681	3	28	#
3	0.859652	3	9	35	#
4	0.773687	3	13	35	#
5	0.696318	3	17	35	#
6	0.859652	7	13	35	#
7	0.773687	7	17	35	#
8	0.859652	11	17	35	#
9	5.06364	18	25	36	#
10	3.41796	18	29	36	#
11	3.79773	22	29	36	#
12	2.59009	2	9	37	#
13	2.33108	2	13	37	#
14	2.09797	2	17	37	#
15	2.59009	6	13	37	#
16	2.33108	6	17	37	#
17	2.59009	10	17	37	#
18	1.41148	19	25	38	#
19	0.952749	19	29	38	#
20	1.05861	23	29	38	#
21	1.19984	7	13	40	#
22	0.809889	7	17	40	#
23	0.7289	7	21	40	#
24	0.65601	7	25	40	#
25	0.899877	11	17	40	#
26	0.809889	11	21	40	#
27	0.7289	11	25	40	#
28	0.899877	15	21	40	#
29	0.809889	15	25	40	#
30	0.899877	19	25	40	#
31	6.47608	14	21	42	#
32	4.37135	14	25	42	#
33	3.93422	14	29	42	#
34	4.85706	18	25	42	#
35	4.37135	18	29	42	#
36	4.85706	22	29	42	#
37	1.19545	3	9	43	#
38	1.07591	3	13	43	#
39	0.968317	3	17	43	#
40	1.19545	7	13	43	#
41	1.07591	7	17	43	#
42	1.19545	11	17	43	#
43	5.87459	2	9	46	#
44	5.28713	2	13	46	#
45	4.75842	2	17	46	#
46	5.87459	6	13	46	#
47	5.28713	6	17	46	#
48	5.87459	10	17	46	#
49	2.78946	15	21	47	#
50	1.88289	15	25	47	#
51	1.6946	15	29	47	#
52	2.0921	19	25	47	#
53	1.88289	19	29	47	#
54	2.0921	23	29	47	#
55	6.02291	1	10	48	#
56	4.06547	1	14	48	#
57	3.65892	1	18	48	#
58	3.29303	1	22	48	#
59	4.51719	5	14	48	#
60	4.06547	5	18	48	#
61	3.65892	5	22	48	#
62	4.51719	9	18	48	#
63	4.06547	9	22	48	#
64	4.51719	13	22	48	#
65	0.460382	0	25	49	#
66	0.310758	0	29	49	#
67	0.345286	4	29	49	#
68	1.14094	1	24	50	#
69	0.770137	1	28	50	#
70	0.855708	5	28	50	#
71	3.40215	3	9	51	#
72	2.29645	3	13	51	#
73	2.06681	3	17	51	#
74	1.86013	3	21	51	#
75	2.55161	7	13	51	#
76	2.29645	7	17	51	#
77	2.06681	7	21	51	#
78	2.55161	11	17	51	#
79	2.29645	11	21	51	#
80	2.55161	15	21	51	#
81	1.1241	0	25	52	#
82	0.758769	0	29	52	#
83	0.843076	4	29	52	#
84	2.68681	17	27	53	#
85	1.8136	17	31	53	#
86	2.01511	21	31	53	#
87	2.65283	1	10	55	#
88	2.38754	1	14	55	#
89	2.14879	1	18	55	#
90	2.65283	5	14	55	#
91	2.38754	5	18	55	#
92	2.65283	9	18	55	#
93	1.14303	0	25	56	#
94	0.771543	0	29	56	#
95	0.857269	4	29	56	#
96	0.564888	1	24	57	#
97	0.5084	1	28	57	#
98	0.564888	5	28	57	#
99	0.352057	1	24	58	#
100	0.316851	1	28	58	#
101	0.352057	5	28	58	#
