%% File generated by CATS v.2.1Thu May  9 12:48:24 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 100; Distribution: matching; Runs: 1; Seed: 57
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 32
bids 100
dummy 27

0	8.11669	3	28	#
1	6.14901	13	22	37	#
2	8.97908	3	9	35	#
3	8.08117	3	13	35	#
4	7.27306	3	17	35	#
5	8.97908	7	13	35	#
6	8.08117	7	17	35	#
7	8.97908	11	17	35	#
8	5.92068	0	30	#
9	8.19868	1	10	37	#
10	5.53411	1	14	37	#
11	4.9807	1	18	37	#
12	4.48263	1	22	37	#
13	6.14901	5	14	37	#
14	5.53411	5	18	37	#
15	4.9807	5	22	37	#
16	6.14901	9	18	37	#
17	5.53411	9	22	37	#
18	8.92322	10	17	38	#
19	6.02317	10	21	38	#
20	5.42086	10	25	38	#
21	4.87877	10	29	38	#
22	6.69241	14	21	38	#
23	6.02317	14	25	38	#
24	5.42086	14	29	38	#
25	6.69241	18	25	38	#
26	6.02317	18	29	38	#
27	6.69241	22	29	38	#
28	5.10214	10	17	39	#
29	3.44395	10	21	39	#
30	3.09955	10	25	39	#
31	2.7896	10	29	39	#
32	3.82661	14	21	39	#
33	3.44395	14	25	39	#
34	3.09955	14	29	39	#
35	3.82661	18	25	39	#
36	3.44395	18	29	39	#
37	3.82661	22	29	39	#
38	3.68757	21	30	54	#
39	5.95003	1	11	41	#
40	4.01627	1	15	41	#
41	3.61464	1	19	41	#
42	3.25318	1	23	41	#
43	4.46252	5	15	41	#
44	4.01627	5	19	41	#
45	3.61464	5	23	41	#
46	4.46252	9	19	41	#
47	4.01627	9	23	41	#
48	4.46252	13	23	41	#
49	12.0226	1	24	42	#
50	8.11526	1	28	42	#
51	9.01696	5	28	42	#
52	15.333	1	24	44	#
53	10.3498	1	28	44	#
54	11.4998	5	28	44	#
55	7.37414	2	28	#
56	7.87614	2	9	46	#
57	7.08852	2	13	46	#
58	6.37967	2	17	46	#
59	7.87614	6	13	46	#
60	7.08852	6	17	46	#
61	7.87614	10	17	46	#
62	4.6728	0	25	47	#
63	4.20552	0	29	47	#
64	4.6728	4	29	47	#
65	4.31498	18	25	48	#
66	2.91261	18	29	48	#
67	3.23623	22	29	48	#
68	7.84895	0	31	#
69	4.91677	13	22	54	#
70	3.31882	13	26	54	#
71	2.98694	13	30	54	#
72	3.68757	17	26	54	#
73	3.31882	17	30	54	#
74	15.8936	0	25	55	#
75	10.7282	0	29	55	#
76	11.9202	4	29	55	#
77	4.58961	9	18	56	#
78	3.09799	9	22	56	#
79	2.78819	9	26	56	#
80	2.50937	9	30	56	#
81	3.44221	13	22	56	#
82	3.09799	13	26	56	#
83	2.78819	13	30	56	#
84	3.44221	17	26	56	#
85	3.09799	17	30	56	#
86	3.44221	21	30	56	#
87	12.3137	11	17	57	#
88	8.31173	11	21	57	#
89	7.48056	11	25	57	#
90	6.7325	11	29	57	#
91	9.23526	15	21	57	#
92	8.31173	15	25	57	#
93	7.48056	15	29	57	#
94	9.23526	19	25	57	#
95	8.31173	19	29	57	#
96	9.23526	23	29	57	#
97	9.36861	18	25	58	#
98	6.32381	18	29	58	#
99	7.02646	22	29	58	#
