%% File generated by CATS v.2.1Thu May  9 13:09:07 2024

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 32; Bids: 100; Distribution: scheduling; Runs: 1; Seed: 63
% Scheduling Distribution Parameters:
% max_length                = 10
% deviation                 = 0.500000
% prob_additional_deadline  = 0.700000
% additivity                = 0.200000



goods 32
bids 106
dummy 6

0	17.7261	0	1	2	3	4	5	6	7	8	9	32	#
1	17.7261	1	2	3	4	5	6	7	8	9	10	32	#
2	17.7261	2	3	4	5	6	7	8	9	10	11	32	#
3	17.7261	3	4	5	6	7	8	9	10	11	12	32	#
4	17.7261	4	5	6	7	8	9	10	11	12	13	32	#
5	17.7261	5	6	7	8	9	10	11	12	13	14	32	#
6	17.7261	6	7	8	9	10	11	12	13	14	15	32	#
7	1.03384	0	33	#
8	1.03384	1	33	#
9	1.03384	2	33	#
10	1.03384	3	33	#
11	1.03384	4	33	#
12	1.03384	5	33	#
13	1.03384	6	33	#
14	1.03384	7	33	#
15	22.7385	0	1	2	3	4	5	6	7	8	9	34	#
16	22.7385	1	2	3	4	5	6	7	8	9	10	34	#
17	22.7385	2	3	4	5	6	7	8	9	10	11	34	#
18	22.7385	3	4	5	6	7	8	9	10	11	12	34	#
19	12.4028	4	5	6	7	8	9	10	11	12	13	34	#
20	12.4028	5	6	7	8	9	10	11	12	13	14	34	#
21	12.4028	6	7	8	9	10	11	12	13	14	15	34	#
22	12.4028	7	8	9	10	11	12	13	14	15	16	34	#
23	12.4028	8	9	10	11	12	13	14	15	16	17	34	#
24	12.4028	9	10	11	12	13	14	15	16	17	18	34	#
25	12.4028	10	11	12	13	14	15	16	17	18	19	34	#
26	12.4028	11	12	13	14	15	16	17	18	19	20	34	#
27	12.4028	12	13	14	15	16	17	18	19	20	21	34	#
28	12.4028	13	14	15	16	17	18	19	20	21	22	34	#
29	11.3692	14	15	16	17	18	19	20	21	22	23	34	#
30	11.3692	15	16	17	18	19	20	21	22	23	24	34	#
31	10.106	16	17	18	19	20	21	22	23	24	25	34	#
32	10.106	17	18	19	20	21	22	23	24	25	26	34	#
33	10.106	18	19	20	21	22	23	24	25	26	27	34	#
34	3.20543	0	1	35	#
35	3.20543	1	2	35	#
36	3.20543	2	3	35	#
37	3.20543	3	4	35	#
38	3.20543	4	5	35	#
39	3.20543	5	6	35	#
40	3.20543	6	7	35	#
41	3.20543	7	8	35	#
42	3.20543	8	9	35	#
43	3.20543	9	10	35	#
44	3.20543	10	11	35	#
45	3.20543	11	12	35	#
46	3.20543	12	13	35	#
47	4.37597	0	1	2	36	#
48	4.37597	1	2	3	36	#
49	4.37597	2	3	4	36	#
50	4.37597	3	4	5	36	#
51	4.37597	4	5	6	36	#
52	4.37597	5	6	7	36	#
53	4.37597	6	7	8	36	#
54	1.52208	7	8	9	36	#
55	1.52208	8	9	10	36	#
56	1.52208	9	10	11	36	#
57	1.52208	10	11	12	36	#
58	1.52208	11	12	13	36	#
59	1.52208	12	13	14	36	#
60	1.52208	13	14	15	36	#
61	1.52208	14	15	16	36	#
62	1.52208	15	16	17	36	#
63	1.52208	16	17	18	36	#
64	1.52208	17	18	19	36	#
65	1.52208	18	19	20	36	#
66	1.52208	19	20	21	36	#
67	1.52208	20	21	22	36	#
68	1.52208	21	22	23	36	#
69	1.16692	22	23	24	36	#
70	1.16692	23	24	25	36	#
71	1.16692	24	25	26	36	#
72	1.16692	25	26	27	36	#
73	1.16692	26	27	28	36	#
74	1.16692	27	28	29	36	#
75	1.16692	28	29	30	36	#
76	4.66045	0	1	2	37	#
77	4.66045	1	2	3	37	#
78	4.66045	2	3	4	37	#
79	4.66045	3	4	5	37	#
80	4.66045	4	5	6	37	#
81	4.66045	5	6	7	37	#
82	4.66045	6	7	8	37	#
83	4.66045	7	8	9	37	#
84	1.61323	8	9	10	37	#
85	1.61323	9	10	11	37	#
86	1.61323	10	11	12	37	#
87	1.61323	11	12	13	37	#
88	1.61323	12	13	14	37	#
89	1.61323	13	14	15	37	#
90	1.61323	14	15	16	37	#
91	1.61323	15	16	17	37	#
92	1.61323	16	17	18	37	#
93	1.61323	17	18	19	37	#
94	1.61323	18	19	20	37	#
95	1.61323	19	20	21	37	#
96	1.61323	20	21	22	37	#
97	1.61323	21	22	23	37	#
98	1.61323	22	23	24	37	#
99	1.61323	23	24	25	37	#
100	1.61323	24	25	26	37	#
101	1.39814	25	26	27	37	#
102	1.39814	26	27	28	37	#
103	1.39814	27	28	29	37	#
104	1.39814	28	29	30	37	#
105	1.35303	29	30	31	37	#
